Date,Open,High,Low,Close,Adj Close,Volume
1999-12-23,65.500000,70.093750,65.406250,138.937500,43.639511,8921200
1999-12-30,69.468750,71.437500,58.625000,120.437500,37.828762,21522000
2000-01-06,60.187500,67.312500,59.718750,131.625000,41.342690,25758200
2000-01-13,66.000000,69.375000,65.000000,135.687500,42.753826,13867600
2000-01-20,67.062500,68.625000,62.718750,132.875000,41.867645,22201600
2000-01-27,66.000000,68.375000,62.500000,130.250000,41.040516,15361000
2000-02-03,66.000000,68.937500,64.000000,67.187500,42.340260,15121200
2000-02-10,67.250000,69.062500,64.250000,65.562500,41.316208,12313000
2000-02-17,65.187500,67.250000,60.125000,65.750000,41.434391,12998600
2000-02-24,67.500000,75.500000,66.125000,75.250000,47.421089,22280300
2000-03-02,74.750000,82.375000,74.062500,79.000000,49.784264,17004700
2000-03-09,79.750000,89.750000,77.750000,78.000000,49.154095,17048200
2000-03-16,76.500000,91.875000,73.750000,90.140602,56.804871,26390300
2000-03-23,90.312500,97.375000,83.812500,86.750000,54.668167,23040000
2000-03-30,85.562500,88.250000,74.125000,79.750000,50.256916,26025800
2000-04-06,81.000000,90.187500,79.500000,79.750000,50.256916,21360600
2000-04-13,80.000000,80.125000,64.750000,75.000000,47.373642,31579900
2000-04-20,74.750000,82.750000,73.062500,80.625000,50.926685,15450900
2000-04-27,77.000000,82.625000,72.500000,73.000000,46.110344,16273600
2000-05-04,74.500000,74.500000,65.000000,66.125000,41.767769,17593700
2000-05-11,68.500000,79.375000,66.000000,76.000000,48.005314,18734600
2000-05-18,75.750000,77.812500,65.812500,68.250000,43.110008,16612900
2000-05-25,68.250000,71.937500,62.375000,71.500000,45.162868,18022800
2000-06-01,72.000000,84.000000,70.125000,79.937500,50.492416,18671300
2000-06-08,79.937500,86.250000,78.125000,85.500000,54.005947,11227600
2000-06-15,84.625000,87.937500,80.250000,85.625000,54.084896,15061300
2000-06-22,84.125000,84.562500,80.625000,83.500000,52.742649,14621700
2000-06-29,83.000000,89.125000,81.562500,86.875000,54.874474,13395200
2000-07-06,86.937500,96.250000,85.812500,95.500000,60.464680,17833800
2000-07-13,95.750000,97.000000,87.500000,88.250000,55.874458,11880500
2000-07-20,89.250000,95.750000,89.187500,93.000000,58.881844,13031500
2000-07-27,94.375000,95.250000,86.500000,92.187500,58.367432,11486800
2000-08-03,91.000000,100.187500,90.937500,98.375000,62.284981,14988500
2000-08-10,98.562500,104.812500,96.562500,98.500000,62.364101,14008100
2000-08-17,97.875000,103.875000,97.875000,101.593697,64.322861,13396400
2000-08-24,101.625000,106.312500,100.312500,105.875000,67.033516,12035000
2000-08-31,104.875000,109.937500,104.562500,106.187500,67.231384,10369700
2000-09-07,106.625000,110.000000,103.000000,104.500000,66.162926,13536200
2000-09-14,104.750000,107.500000,93.500000,95.937500,60.741684,22264200
2000-09-21,89.000000,94.500000,85.500000,86.812500,54.964333,26906400
2000-09-28,87.000000,93.125000,86.812500,90.375000,57.219852,19052300
2000-10-05,90.500000,93.500000,69.625000,77.750000,49.333908,41336400
2000-10-12,78.750000,79.875000,68.250000,73.000000,46.319927,29308000
2000-10-19,75.500000,82.375000,75.500000,78.125000,49.571846,19870600
2000-10-26,79.500000,81.500000,74.437500,79.062500,50.166695,22161600
2000-11-02,79.062500,84.250000,71.000000,73.062500,46.359604,21860800
2000-11-09,71.750000,73.000000,64.875000,70.000000,44.416367,26752400
2000-11-16,70.000000,72.500000,62.250000,64.375000,40.847195,20414900
2000-11-23,66.000000,68.000000,63.500000,65.000000,41.243774,16104000
2000-11-30,64.500000,74.562500,60.625000,69.437500,44.059452,25803800
2000-12-07,69.437500,78.375000,66.375000,75.250000,47.747620,24641200
2000-12-14,70.750000,75.500000,65.312500,68.562500,43.504242,37131100
2000-12-21,68.562500,77.562500,67.500000,76.562500,48.580406,16565700
2000-12-28,77.000000,83.687500,69.000000,83.687500,53.101364,23801700
2001-01-04,85.000000,89.187500,80.437500,86.000000,54.568676,35853000
2001-01-11,86.062500,89.125000,79.875000,80.875000,51.460228,23888500
2001-01-18,80.875000,89.062500,78.375000,84.250000,53.607723,33152200
2001-01-25,84.250000,88.000000,80.375000,84.800003,53.957710,26730000
2001-02-01,85.050003,90.489998,78.000000,80.199997,51.030758,27016300
2001-02-08,81.250000,81.650002,75.879997,76.940002,48.956436,26340400
2001-02-15,76.699997,79.480003,65.500000,66.040001,42.020821,27580200
2001-02-22,66.699997,71.339996,63.500000,65.129997,41.441799,38167700
2001-03-01,62.500000,67.349998,60.000000,66.750000,42.472576,37936500
2001-03-08,66.750000,68.849998,55.099998,57.000000,36.268734,39787100
2001-03-15,58.500000,61.810001,54.400002,54.639999,34.767067,42401500
2001-03-22,54.099998,57.500000,49.700001,54.000000,34.359844,41765100
2001-03-29,54.000000,54.980000,44.099998,45.259998,28.798641,39603200
2001-04-05,48.500000,57.750000,48.040001,57.650002,36.854126,40398800
2001-04-12,57.400002,68.849998,56.099998,66.900002,42.767384,31070400
2001-04-19,66.199997,67.529999,60.000000,61.400002,39.251400,27484900
2001-04-26,61.599998,67.949997,60.770000,66.519997,42.524471,30450300
2001-05-03,66.000000,68.650002,64.410004,65.070000,41.597523,23859300
2001-05-10,66.099998,69.699997,63.200001,69.099998,44.173805,22546100
2001-05-17,68.849998,75.230003,68.360001,71.500000,45.708057,27369500
2001-05-24,70.519997,72.199997,64.199997,64.199997,41.041355,17119600
2001-05-31,64.849998,66.400002,63.700001,64.500000,41.233147,18893900
2001-06-07,64.400002,65.629997,59.299999,59.400002,37.972855,18843100
2001-06-14,58.810001,60.549999,55.820000,59.349998,37.940899,29041900
2001-06-21,59.599998,65.300003,59.599998,62.650002,40.050491,27931700
2001-06-28,62.750000,65.180000,62.750000,63.700001,40.721725,12388800
2001-07-05,63.000000,64.830002,55.369999,57.820000,37.096642,19217700
2001-07-12,58.299999,62.450001,56.799999,58.900002,37.789547,25055900
2001-07-19,60.099998,60.849998,56.520000,57.119999,36.647533,17702600
2001-07-26,56.200001,62.950001,56.020000,62.400002,40.035107,18043400
2001-08-02,63.049999,63.849998,58.250000,58.250000,37.372513,14507800
2001-08-09,57.250000,57.480000,54.490002,54.950001,35.255291,20935900
2001-08-16,54.099998,55.459999,50.099998,53.480000,34.312130,24934100
2001-08-23,53.500000,57.110001,51.830002,53.840000,34.543098,19762000
2001-08-30,53.520000,54.599998,50.430000,51.709999,33.176525,20574900
2001-09-06,50.700001,51.380001,46.830002,48.900002,31.373674,15751300
2001-09-13,42.250000,45.169998,39.380001,41.990002,26.940289,27961400
2001-09-20,40.500000,44.500000,35.750000,43.630001,27.992500,40003800
2001-09-27,43.349998,50.000000,42.060001,49.889999,32.008823,25308200
2001-10-04,49.889999,51.259998,46.869999,50.599998,32.464363,25868800
2001-10-11,51.450001,54.349998,49.279999,52.509998,33.689800,28279200
2001-10-18,52.509998,53.950001,48.700001,50.000000,32.079399,26471800
2001-10-25,49.279999,53.279999,48.599998,48.919998,31.386505,22545000
2001-11-01,48.950001,54.279999,48.060001,53.849998,34.549526,21477400
2001-11-08,54.450001,58.250000,51.599998,58.200001,37.340439,23099200
2001-11-15,57.020000,58.700001,55.299999,56.540001,36.275391,19787200
2001-11-22,56.790001,59.599998,54.049999,54.200001,34.774094,16379300
2001-11-29,54.209999,56.570000,51.770000,55.869999,35.845539,28345400
2001-12-06,55.310001,57.650002,53.619999,55.009998,35.293774,19722400
2001-12-13,54.200001,56.000000,51.349998,55.790001,35.794201,24400200
2001-12-20,56.029999,57.299999,54.500000,55.450001,35.576061,16930400
2001-12-27,55.700001,57.110001,53.990002,55.220001,35.428513,10663100
2002-01-03,55.450001,60.020000,55.340000,58.389999,37.462337,28345900
2002-01-10,58.389999,59.450001,55.610001,55.869999,35.988377,19998800
2002-01-17,56.599998,57.750000,54.250000,55.459999,35.724274,15267300
2002-01-24,56.099998,57.060001,50.200001,52.599998,33.882030,30059000
2002-01-31,53.580002,55.000000,48.020000,48.919998,31.511557,33308400
2002-02-07,49.290001,52.349998,48.500000,51.349998,33.076839,27669400
2002-02-14,51.980000,52.900002,46.349998,47.770000,30.770796,25009800
2002-02-21,47.500000,50.080002,45.900002,48.330002,31.131531,34331600
2002-02-28,48.990002,56.810001,48.500000,56.360001,36.303997,33088000
2002-03-07,56.369999,57.450001,54.270000,55.320000,35.634090,23791800
2002-03-14,55.070000,58.270000,54.259998,56.770000,36.568115,21434400
2002-03-21,56.570000,57.299999,54.810001,56.660000,36.497257,20828000
2002-03-28,56.220001,58.029999,55.410000,55.660000,35.853100,16626400
2002-04-04,55.380001,57.150002,54.049999,54.509998,35.255119,21417100
2002-04-11,53.549999,55.750000,51.200001,55.029999,35.591431,31188200
2002-04-18,55.040001,57.000000,50.900002,50.990002,32.978508,24671500
2002-04-25,50.599998,50.599998,45.950001,48.029999,31.064083,40552300
2002-05-02,48.029999,49.450001,43.919998,48.490002,31.361593,32204600
2002-05-09,47.799999,49.950001,46.000000,49.110001,31.762589,27912500
2002-05-16,49.110001,50.680000,47.220001,48.020000,31.057632,22885000
2002-05-23,48.119999,48.849998,45.869999,46.040001,29.777029,13933500
2002-05-30,45.900002,46.139999,42.880001,45.180000,29.220814,28350900
2002-06-06,45.180000,45.480000,41.900002,43.750000,28.295931,23206100
2002-06-13,43.250000,45.939999,40.810001,44.150002,28.554649,28063700
2002-06-20,43.720001,44.400002,39.799999,41.250000,26.679018,28999200
2002-06-27,41.799999,44.090000,40.209999,41.270000,26.691967,25624900
2002-07-04,42.900002,44.009998,39.910000,40.090000,26.073496,17124100
2002-07-11,39.820000,42.200001,38.549999,39.900002,25.949924,34084400
2002-07-18,40.000000,40.250000,33.500000,37.900002,24.649181,44173300
2002-07-25,37.720001,41.450001,36.049999,40.349998,26.242584,34766000
2002-08-01,39.770000,40.330002,36.310001,38.389999,24.967857,24860000
2002-08-08,38.830002,44.119999,38.549999,44.009998,28.622961,26446100
